filename,capability,title,url,word_count
standards_qa_1.txt,standards_qa,Know Your Standard - Bureau of Indian Standards,https://www.bis.gov.in/know-your-standard/?lang=en,103
standards_qa_2.txt,standards_qa,Products under Compulsory Certification - Bureau of Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/?lang=en,151
certification_schemes_1.txt,certification_schemes,Product Certification Overivew - Bureau of Indian Standards,https://www.bis.gov.in/product-certification/product-certification-overivews/?lang=en,495
certification_schemes_2.txt,certification_schemes,Scheme – I (ISI Mark Scheme) - Bureau of Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en,31582
certification_schemes_3.txt,certification_schemes,PRODUCT CERTIFICATION SCHEME | BIS,https://www.services.bis.gov.in/php/BIS_2.0/BISBlog/product-certification-scheme/,1256
process_explainer_1.txt,process_explainer,उत्पाद प्रमाणन प्रक्रिया - Bureau of Indian Standards,https://www.bis.gov.in/product-certification/product-certification-process/,280
consumer_queries_1.txt,consumer_queries,Complaints - Bureau of Indian Standards,https://www.bis.gov.in/system-certification-overview/public-grievance/complaints/?lang=en,96
hallmarking_1.txt,hallmarking,General - Bureau of Indian Standards,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/hallmarking-faq/?lang=en,1336
hallmarking_2.txt,hallmarking,Jewellers - Bureau of Indian Standards,https://www.bis.gov.in/hallmarking-jewellers/?lang=en,4467
hallmarking_3.txt,hallmarking,Consumer Protection - Bureau of Indian Standards,https://www.bis.gov.in/hallmarking-overview/consumer-protection/?lang=en,367
hallmarking_4.txt,hallmarking,Hallmarking overview - Bureau of Indian Standards,https://www.bis.gov.in/hallmarking-overview/?lang=en,666
lab_suggestion_1.txt,lab_suggestion,List of Laboratories - Bureau of Indian Standards,https://www.bis.gov.in/laboratorys/list-of-laboratories/,84
lab_suggestion_2.txt,lab_suggestion,बीआईएस द्वारा मान्यता प्राप्त प्रयोगशालाओं की सूची - Bureau of Indian Standards,https://www.bis.gov.in/laboratorys/list-of-bis-recognized-lab/,260
lab_suggestion_3.txt,lab_suggestion,Laboratory - Bureau of Indian Standards,https://www.bis.gov.in/directory/laboratory/?lang=en,164
